CTD,20200325CCHSIO
NUMBER_HEADERS = 14
EXPOCODE = 325020190403
SECT_ID = I06S
STNNBR = 5
CASTNO = 2
DATE = 20190416
TIME = 2223
LATITUDE = -68.2795
LONGITUDE = 31.0967
DEPTH =   2321
INSTRUMENT_ID = 0830
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,/METER,
     334.0,2,    0.7523,2,    34.662,2,  892.3624,2,    0.0635,1,    0.1563,1,    0.0077,2
     336.0,2,    0.7585,2,   34.6632,2,  939.3284,2,     0.064,1,    0.1602,1,    0.0076,2
     338.0,2,    0.7656,2,   34.6642,2,  997.3413,2,    0.0639,1,    0.1592,1,    0.0074,2
     340.0,2,    0.7787,2,   34.6658,2, 1108.3221,2,    0.0636,1,    0.1576,1,    0.0070,2
     342.0,2,    0.7911,2,   34.6671,2, 1216.0447,2,    0.0638,1,    0.1584,1,    0.0068,2
     344.0,2,    0.8069,2,   34.6687,2, 1358.4006,2,    0.0636,1,    0.1574,1,    0.0067,2
     346.0,2,    0.8188,2,   34.6702,2, 1468.5779,2,    0.0634,1,    0.1556,1,    0.0065,2
     348.0,2,    0.8259,2,   34.6713,2, 1532.9578,2,    0.0632,1,    0.1537,1,    0.0064,2
     350.0,2,    0.8213,2,   34.6716,2, 1479.9979,2,    0.0632,1,    0.1514,1,    0.0064,2
     352.0,2,    0.8154,2,   34.6716,2, 1416.4422,2,    0.0633,1,    0.1502,1,    0.0064,2
     354.0,2,    0.8097,2,   34.6719,2, 1356.4881,2,    0.0633,1,    0.1498,1,    0.0062,2
     356.0,2,    0.8117,2,   34.6726,2, 1375.6246,2,     0.063,1,    0.1502,1,    0.0057,2
     358.0,2,    0.8144,2,   34.6732,2, 1402.4876,2,    0.0629,1,    0.1494,1,    0.0053,2
     360.0,2,    0.8162,2,   34.6736,2, 1420.2045,2,    0.0629,1,    0.1487,1,    0.0052,2
     362.0,2,    0.8173,2,   34.6741,2, 1430.0644,2,    0.0629,1,    0.1481,1,    0.0052,2
     364.0,2,    0.8183,2,   34.6745,2, 1439.3055,2,    0.0629,1,    0.1475,1,    0.0053,2
     366.0,2,    0.8195,2,   34.6748,2, 1451.8384,2,    0.0628,1,    0.1468,1,    0.0055,2
     368.0,2,    0.8208,2,   34.6751,2, 1464.3561,2,    0.0627,1,    0.1468,1,    0.0056,2
     370.0,2,     0.822,2,   34.6753,2, 1475.2492,2,    0.0626,1,     0.147,1,    0.0056,2
     372.0,2,    0.8233,2,   34.6756,2, 1487.8032,2,    0.0625,1,    0.1471,1,    0.0056,2
     374.0,2,    0.8243,2,    34.676,2,  1497.437,2,    0.0626,1,    0.1469,1,    0.0055,2
     376.0,2,    0.8249,2,   34.6762,2, 1503.3201,2,    0.0627,1,    0.1464,1,    0.0053,2
     378.0,2,    0.8248,2,   34.6765,2, 1501.3579,2,    0.0627,1,    0.1461,1,    0.0051,2
     380.0,2,    0.8247,2,   34.6769,2, 1498.8619,2,    0.0627,1,    0.1456,1,    0.0049,2
     382.0,2,    0.8331,2,    34.678,2, 1582.7218,2,    0.0627,1,    0.1466,1,    0.0048,2
     384.0,2,     0.851,2,     34.68,2, 1768.3146,2,    0.0627,1,    0.1471,1,    0.0048,2
     386.0,2,    0.8716,2,   34.6823,2, 1993.2335,2,    0.0626,1,    0.1469,1,    0.0047,2
     388.0,2,    0.8701,2,   34.6828,2, 1970.4772,2,    0.0625,1,    0.1474,1,    0.0045,2
     390.0,2,    0.8638,2,   34.6827,2, 1891.7235,2,    0.0626,1,     0.147,1,    0.0044,2
     392.0,2,    0.8605,2,   34.6828,2, 1847.9029,2,    0.0628,1,    0.1463,1,    0.0044,2
     394.0,2,    0.8612,2,   34.6831,2, 1852.7402,2,    0.0628,1,    0.1465,1,    0.0044,2
     396.0,2,    0.8631,2,   34.6836,2, 1872.1274,2,    0.0628,1,    0.1472,1,    0.0044,2
     398.0,2,    0.8652,2,   34.6841,2, 1895.9946,2,    0.0628,1,    0.1477,1,    0.0044,2
     400.0,2,     0.867,2,   34.6844,2, 1916.3157,2,    0.0628,1,    0.1477,1,    0.0044,2
     402.0,2,    0.8698,2,   34.6848,2, 1946.5233,2,    0.0628,1,    0.1476,1,    0.0044,2
     404.0,2,    0.8727,2,   34.6852,2, 1978.0543,2,    0.0628,1,    0.1471,1,    0.0044,2
     406.0,2,    0.8757,2,   34.6857,2, 2010.4363,2,    0.0627,1,    0.1472,1,    0.0044,2
     408.0,2,    0.8768,2,    34.686,2, 2020.5674,2,    0.0627,1,    0.1475,1,    0.0044,2
